0:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049651);(0.03750904, -0.02267332, 0.02427578);(0.05878719, -0.04526472, 0.03396903);(0.08526279, -0.06448597, 0.02550973);(0.09599626, -0.00731646, 0.02355069);(0.12301450, -0.03198773, 0.01355942);(0.12018390, -0.05611644, 0.01288079);(0.09564664, -0.00254315, 0.00172590);(0.12651510, -0.03165906, -0.00476512);(0.11908570, -0.05809556, -0.00255266);(0.08869383, -0.00652931, -0.01746524);(0.11778400, -0.03179942, -0.02345520);(0.11352580, -0.05746581, -0.01804698);(0.03407357, -0.00941984, -0.02299858);(0.07789586, -0.01369119, -0.03505405);(0.10141810, -0.03328362, -0.03762014);(0.10333120, -0.05289174, -0.03267911);(0.10179110, -0.07678717, 0.01202996);(0.10711880, -0.07418364, 0.01491477);(0.10029980, -0.07336715, 0.00365249);(0.09820537, -0.07388763, -0.00855901);(0.10186650, -0.07265127, -0.02321620);$
1:(0.00000000, 0.00000000, 0.00000000);(0.02006929, -0.01155409, 0.01049652);(0.03474197, -0.01658714, 0.02991380);(0.05399746, -0.03347564, 0.04994113);(0.08161438, -0.05262147, 0.05350696);(0.09599622, -0.00731646, 0.02355067);(0.13309270, -0.00870849, 0.01577937);(0.14633160, -0.02880920, 0.01240891);(0.09564658, -0.00254316, 0.00172590);(0.13719170, -0.00963006, -0.00642909);(0.14886090, -0.03452864, -0.00812283);(0.08869377, -0.00652931, -0.01746524);(0.12586610, -0.01384382, -0.02670694);(0.13649950, -0.03816626, -0.02548470);(0.03407356, -0.00941985, -0.02299857);(0.07789584, -0.01369118, -0.03505407);(0.10652120, -0.02164136, -0.04287238);(0.11651290, -0.03928149, -0.04162965);(0.10063510, -0.06824139, 0.05284452);(0.14880820, -0.05096178, 0.01031411);(0.14631850, -0.05926102, -0.00557716);(0.13538680, -0.06175852, -0.01943652);(0.11888030, -0.05938333, -0.03311840);$
2:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049652);(0.03543847, -0.01804430, 0.02891705);(0.06334779, -0.01748792, 0.04558590);(0.09502740, -0.02490258, 0.03645366);(0.09599624, -0.00731645, 0.02355069);(0.13156080, -0.01548251, 0.01320852);(0.15111070, -0.02848599, 0.00693347);(0.09564663, -0.00254317, 0.00172590);(0.11353150, -0.04146047, -0.00115544);(0.08675428, -0.04505453, 0.00423358);(0.08869381, -0.00652931, -0.01746525);(0.10113810, -0.04348455, -0.01708348);(0.07605694, -0.04516505, -0.00846621);(0.03407355, -0.00941983, -0.02299857);(0.07789587, -0.01369119, -0.03505407);(0.08802825, -0.04213200, -0.02937969);(0.06965081, -0.04462953, -0.02109816);(0.10386600, -0.03419165, 0.01543459);(0.16808020, -0.04131271, -0.00005024);(0.07251534, -0.02529326, 0.00983536);(0.06668292, -0.02285836, -0.00547404);(0.05839116, -0.02603896, -0.01797692);$
3:(0.00000000, 0.00000000, 0.00000000);(0.02006931, -0.01155411, 0.01049652);(0.03384329, -0.01475404, 0.03093395);(0.05782252, -0.01942835, 0.05238706);(0.08779481, -0.03362014, 0.04588870);(0.09599625, -0.00731646, 0.02355069);(0.13372700, -0.01062573, 0.02157210);(0.13550340, -0.03485953, 0.02108802);(0.09564661, -0.00254317, 0.00172589);(0.13590040, -0.01446062, -0.00723717);(0.13617440, -0.04199986, -0.00653421);(0.08869380, -0.00652932, -0.01746524);(0.11658800, -0.03301096, -0.02389417);(0.09552886, -0.04545938, -0.01351663);(0.03407355, -0.00941984, -0.02299857);(0.07789584, -0.01369120, -0.03505407);(0.09572342, -0.03870889, -0.03486430);(0.07999758, -0.04537432, -0.02387239);(0.09526977, -0.04365727, 0.02468513);(0.11750280, -0.04816555, 0.02151829);(0.11770990, -0.05716865, 0.00078742);(0.07692936, -0.03161952, -0.00597142);(0.06509553, -0.03125216, -0.01608627);$
4:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155411, 0.01049651);(0.03637185, -0.02006205, 0.02721450);(0.05628022, -0.04123716, 0.04178713);(0.08164241, -0.06089847, 0.05237791);(0.09599623, -0.00731646, 0.02355068);(0.13044040, -0.01809151, 0.01188983);(0.14229900, -0.03873767, 0.00701371);(0.09564660, -0.00254316, 0.00172589);(0.10683160, -0.04393296, -0.00039696);(0.08001775, -0.04522699, 0.00579355);(0.08869378, -0.00652931, -0.01746524);(0.09326432, -0.04520172, -0.01540382);(0.06849930, -0.04596629, -0.00579893);(0.03407355, -0.00941983, -0.02299857);(0.07789584, -0.01369117, -0.03505407);(0.07962824, -0.04335898, -0.02727179);(0.06190094, -0.04237358, -0.01740653);(0.09914328, -0.07706514, 0.05858825);(0.14866790, -0.05975124, 0.00264042);(0.06662595, -0.02494323, 0.01161273);(0.05641657, -0.02538223, -0.00082727);(0.05098894, -0.02422873, -0.01159076);$
5:(0.00000000, 0.00000000, 0.00000000);(0.02006929, -0.01155410, 0.01049652);(0.03754828, -0.02276799, 0.02414876);(0.06779046, -0.02405683, 0.03601633);(0.09251236, -0.02876931, 0.01346432);(0.09599623, -0.00731646, 0.02355068);(0.13244120, -0.01277735, 0.01458300);(0.15533760, -0.01824734, 0.00854121);(0.09564661, -0.00254316, 0.00172590);(0.13667370, -0.01214277, -0.00648078);(0.16230410, -0.02074859, -0.01177253);(0.08869378, -0.00652931, -0.01746525);(0.12654800, -0.01389552, -0.02325266);(0.15186070, -0.02111478, -0.02689876);(0.03407355, -0.00941983, -0.02299858);(0.07789585, -0.01369119, -0.03505407);(0.10822270, -0.01770381, -0.03786924);(0.12780490, -0.02217723, -0.04088236);(0.09502680, -0.03298676, -0.01066243);(0.17581650, -0.02409229, 0.00163405);(0.18582460, -0.02728329, -0.01713183);(0.17511800, -0.02812930, -0.02897413);(0.14947830, -0.02544871, -0.04218223);$
6:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049651);(0.03690632, -0.02126236, 0.02598565);(0.06508746, -0.02919063, 0.04012976);(0.09000867, -0.03870508, 0.01938414);(0.09599621, -0.00731646, 0.02355067);(0.13004350, -0.02397977, 0.02481410);(0.14974390, -0.03820933, 0.02509978);(0.09564660, -0.00254315, 0.00172589);(0.13275990, -0.02290545, -0.00539503);(0.15602450, -0.03690103, -0.01007050);(0.08869378, -0.00652930, -0.01746523);(0.09996402, -0.04385176, -0.01662098);(0.07468694, -0.04260426, -0.00851804);(0.03407355, -0.00941983, -0.02299858);(0.07789584, -0.01369117, -0.03505407);(0.08533059, -0.04277644, -0.02853365);(0.06657178, -0.04196014, -0.02078816);(0.09238286, -0.04251313, -0.00482477);(0.16815350, -0.05089493, 0.02390801);(0.17758890, -0.04858210, -0.01488376);(0.06419516, -0.02084422, -0.00522629);(0.05445293, -0.02412816, -0.01663088);$
7:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049653);(0.03596567, -0.01917340, 0.02801516);(0.05828105, -0.03586849, 0.04475993);(0.08227980, -0.05126659, 0.02662349);(0.09599624, -0.00731646, 0.02355071);(0.10339030, -0.04444728, 0.02128972);(0.07922325, -0.04228687, 0.01989219);(0.09564663, -0.00254315, 0.00172593);(0.12294680, -0.03559954, -0.00044314);(0.13826440, -0.05845819, -0.00179628);(0.08869380, -0.00652932, -0.01746524);(0.09761041, -0.04446614, -0.01605511);(0.07233122, -0.04430133, -0.00786485);(0.03407357, -0.00941984, -0.02299857);(0.07789586, -0.01369120, -0.03505406);(0.08406217, -0.04299281, -0.02818842);(0.06532716, -0.04228534, -0.02037491);(0.08811155, -0.05518895, 0.00302656);(0.06836827, -0.02271016, 0.02031799);(0.15318330, -0.07842750, -0.00361023);(0.06482759, -0.02122862, -0.00546516);(0.05661587, -0.02225433, -0.01813831);$
8:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155409, 0.01049652);(0.03346029, -0.01398655, 0.03129107);(0.05646047, -0.01920642, 0.05367039);(0.08318989, -0.02156540, 0.07421169);(0.09599624, -0.00731644, 0.02355067);(0.10325030, -0.04450753, 0.02191344);(0.07930523, -0.04162454, 0.01891525);(0.09564661, -0.00254315, 0.00172589);(0.12423140, -0.03447178, -0.00076379);(0.14120010, -0.05611229, -0.00241650);(0.08869381, -0.00652930, -0.01746525);(0.10802360, -0.04039733, -0.01757023);(0.08326438, -0.04670087, -0.01026316);(0.03407355, -0.00941982, -0.02299858);(0.07789584, -0.01369118, -0.03505407);(0.10462770, -0.02565819, -0.04432463);(0.11684810, -0.04171721, -0.04663160);(0.09536549, -0.02137907, 0.09561098);(0.06091107, -0.02911138, 0.01639854);(0.15806760, -0.07442119, -0.00463172);(0.06581324, -0.03027686, -0.00577732);(0.13083440, -0.05864285, -0.04681790);$
9:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155409, 0.01049653);(0.03632288, -0.01995389, 0.02731657);(0.06440979, -0.02485633, 0.04294286);(0.09049999, -0.03501131, 0.02401798);(0.09599623, -0.00731645, 0.02355068);(0.13030970, -0.02341684, 0.02219184);(0.14948850, -0.03829220, 0.02094073);(0.09564662, -0.00254316, 0.00172590);(0.13341540, -0.02294003, 0.00218399);(0.15332520, -0.04197921, 0.00248791);(0.08869379, -0.00652932, -0.01746525);(0.12638010, -0.01638680, -0.01927273);(0.14379520, -0.03638171, -0.01752177);(0.03407357, -0.00941983, -0.02299857);(0.07789586, -0.01369119, -0.03505407);(0.10832980, -0.01666681, -0.03799786);(0.10394410, -0.03480307, -0.02997328);(0.09489547, -0.04140051, 0.00064990);(0.16504840, -0.05419603, 0.01844739);(0.16842080, -0.06189306, 0.00292894);(0.15348700, -0.05835451, -0.01331752);(0.08578556, -0.04196396, -0.01991747);$
10:(0.00000000, 0.00000000, 0.00000000);(0.02006930, -0.01155410, 0.01049653);(0.03685614, -0.02114790, 0.02611096);(0.06647495, -0.01960560, 0.03943151);(0.09852177, -0.01462207, 0.04892560);(0.09599622, -0.00731646, 0.02355067);(0.10653700, -0.04305508, 0.01647096);(0.10534620, -0.06723443, 0.01432433);(0.09564660, -0.00254315, 0.00172591);(0.10383080, -0.04460536, -0.00082666);(0.10253890, -0.07212318, -0.00054402);(0.08869379, -0.00652932, -0.01746524);(0.09661444, -0.04469292, -0.01868895);(0.09712505, -0.07118412, -0.01666370);(0.03407356, -0.00941985, -0.02299859);(0.07789584, -0.01369118, -0.03505406);(0.08711575, -0.04299452, -0.03528018);(0.08670317, -0.06279994, -0.03079383);(0.12071950, -0.01263205, 0.05939023);(0.10504000, -0.08928730, 0.01047245);(0.10135660, -0.09708768, -0.00065233);(0.09358463, -0.09462172, -0.01095784);(0.08905349, -0.08397507, -0.02548156);$
