C:\Users\BIOMETRICS\Desktop\testRecordingTrigger.c3d



Time(ms):	EMG 9(uV):	

0.0	4.0284	
0.5	0.6043	
1.0	-11.0780	
1.5	-9.6681	
2.0	5.2369	
2.5	-3.6255	
3.0	10.8766	
3.5	-2.6184	
4.0	3.4241	
4.5	3.0213	
5.0	5.8412	
5.5	-6.8482	
6.0	-6.0426	
6.5	-2.8199	
7.0	1.8128	
7.5	3.6255	
8.0	5.0355	
8.5	4.6326	
9.0	-7.0497	
9.5	-3.8270	
10.0	-2.4170	
10.5	-8.4596	
11.0	-19.7391	
11.5	1.4099	
12.0	-3.6255	
12.5	-0.8057	
13.0	-2.2156	
13.5	0.2014	
14.0	-2.4170	
14.5	1.4099	
15.0	-0.6043	
15.5	-1.4099	
16.0	-1.8128	
16.5	1.8128	
17.0	-12.4880	
17.5	-6.0426	
18.0	2.6184	
18.5	-2.6184	
19.0	-6.0426	
19.5	11.0780	
20.0	5.8412	
20.5	3.8270	
21.0	1.4099	
21.5	-2.4170	
22.0	7.0497	
22.5	10.6752	
23.0	-1.4099	
23.5	-3.4241	
24.0	-10.6752	
24.5	-8.6610	
25.0	-14.9050	
25.5	-23.5660	
26.0	-8.8624	
26.5	-8.0568	
27.0	2.6184	
27.5	-1.4099	
28.0	-4.0284	
28.5	-8.6610	
29.0	8.8624	
29.5	-5.4383	
30.0	-7.6539	
30.5	-18.3291	
31.0	-4.2298	
31.5	-20.1419	
32.0	-9.2653	
32.5	5.2369	
33.0	1.2085	
33.5	5.0355	
34.0	-4.8341	
34.5	-9.2653	
35.0	-7.6539	
35.5	0.4028	
36.0	2.4170	
36.5	-5.4383	
37.0	-0.4028	
37.5	4.0284	
38.0	6.0426	
38.5	-1.8128	
39.0	-2.6184	
39.5	3.6255	
40.0	14.0993	
40.5	17.3220	
41.0	-0.2014	
41.5	14.3008	
42.0	9.8695	
42.5	-4.4312	
43.0	-6.4454	
43.5	-5.8412	
44.0	4.2298	
44.5	-10.2724	
45.0	-0.2014	
45.5	2.2156	
46.0	4.6326	
46.5	1.4099	
47.0	3.8270	
47.5	-1.4099	
48.0	-1.4099	
48.5	-16.5164	
49.0	-12.6894	
49.5	-14.7036	
50.0	-15.9121	
50.5	-14.3008	
51.0	-7.0497	
51.5	-9.2653	
52.0	-11.0780	
52.5	-3.8270	
53.0	8.4596	
53.5	7.0497	
54.0	5.2369	
54.5	3.4241	
55.0	8.6610	
55.5	-13.4951	
56.0	14.3008	
56.5	-6.2440	
57.0	-0.6043	
57.5	-3.2227	
58.0	-13.0922	
58.5	-10.8766	
59.0	-11.0780	
59.5	9.8695	
60.0	23.9689	
60.5	9.4667	
61.0	38.8739	
61.5	17.1206	
62.0	9.8695	
